Name,Value.availability,Value.cost,Value.dealership,Value.function,Value.location,Value.other,Value.participantid,Value.range,Value.reviewid,Value.sentiment,Value.servicetimes,Value.time,Value.userinteraction
104390n4,,,,true,,,4,,104390,Negative,, 9/12/2019 @ 21:16:15,
104401n4,,,,true,,,4,,104401,Negative,, 9/12/2019 @ 21:16:1,
104424n4,,,,true,,,4,,104424,Negative,, 10/12/2019 @ 21:26:39,
104460n4,,,,true,true,,4,,104460,Negative,, 9/12/2019 @ 16:10:15,
104540n4,,,,,,,4,,104540,Positive,true, 5/12/2019 @ 20:43:27,
104620n4,,,,true,,,4,,104620,Negative,, 5/12/2019 @ 12:39:29,
104626n4,,,,true,,,4,,104626,Positive,, 4/12/2019 @ 9:42:40,
104803n4,,,,true,,,4,,104803,Negative,, 6/12/2019 @ 16:16:50,
104857n4,true,,,,,,4,,104857,Negative,, 3/12/2019 @ 14:26:55,true
104918n4,,,,true,,,4,,104918,Negative,, 10/12/2019 @ 21:5:52,
104951n4,true,,,,,,4,,104951,Negative,, 7/12/2019 @ 17:54:12,
105074n4,,,,true,,,4,,105074,Negative,, 10/12/2019 @ 21:25:26,
105099n4,,true,,,,,4,,105099,Negative,, 10/12/2019 @ 21:3:38,true
105268n4,,true,,,true,,4,,105268,Positive,, 5/12/2019 @ 12:41:0,true
105281n4,,,,true,,,4,,105281,Positive,, 5/12/2019 @ 20:42:4,
105347n4,true,,,,,,4,,105347,Negative,, 10/12/2019 @ 21:21:45,
105500n4,,,,true,true,,4,,105500,Positive,, 9/12/2019 @ 16:59:33,
105665n4,,,,,true,,4,,105665,Negative,, 3/12/2019 @ 14:22:33,true
105712n4,true,,,,,,4,,105712,Negative,, 10/12/2019 @ 20:55:8,
105749n4,,,,,,,4,,105749,Positive,, 10/12/2019 @ 21:4:12,true
105852n4,,,,true,,,4,,105852,Positive,, 10/12/2019 @ 20:51:56,
105858n4,,true,,,,,4,,105858,Positive,, 10/12/2019 @ 21:5:11,true
106019n4,true,,,,,,4,,106019,Negative,, 10/12/2019 @ 21:25:4,
106042n4,,true,,true,,,4,,106042,Negative,, 10/12/2019 @ 21:29:53,
106128n4,,,,true,,,4,,106128,Negative,, 6/12/2019 @ 18:24:49,
10617n1,true,,true,,,,1,,10617,Negative,, 29/11/2019 @ 17:8:51,
10617n2,true,,,,,,2,,10617,Negative,, 27/11/2019 @ 13:57:28,
10617n3,true,,true,,,,3,,10617,Negative,, 30/11/2019 @ 20:10:32,
10617n4,true,,true,,true,,4,,10617,Negative,, 1/12/2019 @ 14:18:43,
10617n5,true,,true,,true,,5,,10617,Negative,, 1/12/2019 @ 18:38:26,true
106316n4,,true,,,,,4,,106316,Positive,, 3/12/2019 @ 14:19:35,
106356n4,,,,,true,,4,,106356,Negative,, 4/12/2019 @ 16:28:28,
106503n4,,,,true,,,4,,106503,Negative,, 5/12/2019 @ 13:6:1,
106509n4,,,,,true,,4,,106509,Positive,, 10/12/2019 @ 21:12:9,
106606n4,,,,true,,,4,,106606,Negative,, 9/12/2019 @ 16:48:41,
106624n4,,,,true,,,4,,106624,Positive,, 6/12/2019 @ 16:25:54,
106663n1,,,,true,,,1,,106663,Negative,, 29/11/2019 @ 16:21:58,
106663n2,,,true,true,,,2,,106663,Positive,, 26/11/2019 @ 23:31:33,
106663n3,,,,true,,,3,,106663,Negative,, 29/11/2019 @ 12:46:58,
106663n4,true,,,,,,4,,106663,Negative,, 27/11/2019 @ 15:38:29,
106663n5,true,,true,true,,,5,,106663,Positive,, 1/12/2019 @ 17:23:43,
106663n6,,,,true,,,6,,106663,Negative,, 9/12/2019 @ 11:40:48,
106705n1,,,true,,,,1,,106705,Negative,true, 29/11/2019 @ 17:49:34,
106705n2,,,,,,,2,,106705,Positive,true, 27/11/2019 @ 14:5:39,
106705n3,,,true,,,,3,,106705,Positive,true, 30/11/2019 @ 20:28:12,
106705n4,,,true,,,,4,,106705,Negative,true, 1/12/2019 @ 14:36:20,
106705n5,,,true,,,,5,,106705,Positive,true, 1/12/2019 @ 18:59:41,
106816n4,true,,,,,,4,,106816,Positive,, 5/12/2019 @ 20:34:57,
106853n4,,,,true,,,4,,106853,Negative,, 10/12/2019 @ 21:3:45,
106985n4,,,,true,,,4,,106985,Positive,, 4/12/2019 @ 16:23:37,
107100n4,,,,true,,,4,,107100,Positive,, 5/12/2019 @ 20:31:20,
107115n4,,,,true,,,4,,107115,Positive,true, 4/12/2019 @ 16:44:21,
107151n4,,,,true,,,4,,107151,Positive,, 6/12/2019 @ 16:26:4,
107160n4,,,,true,,,4,,107160,Positive,, 10/12/2019 @ 21:13:44,
107175n4,,,,true,,,4,,107175,Positive,, 10/12/2019 @ 21:23:15,
107229n4,,,,true,,,4,,107229,Positive,, 5/12/2019 @ 12:38:54,
107238n4,,,,true,,,4,,107238,Positive,, 5/12/2019 @ 12:25:36,
107240n4,,,,true,,,4,,107240,Positive,, 9/12/2019 @ 16:47:50,
107250n4,,,,true,,,4,,107250,Positive,, 5/12/2019 @ 12:39:15,
107301n4,,,,true,,,4,,107301,Positive,, 9/12/2019 @ 16:38:33,
107344n4,,,,true,,,4,,107344,Positive,, 9/12/2019 @ 16:48:24,
107376n4,,,,true,,,4,,107376,Positive,, 5/12/2019 @ 13:7:39,
107479n4,,,,true,,,4,,107479,Positive,, 10/12/2019 @ 21:6:20,
107485n4,,,,true,,,4,,107485,Positive,, 10/12/2019 @ 21:4:6,
107545n4,,,,true,,,4,,107545,Positive,, 6/12/2019 @ 16:12:9,
107602n4,,,,true,,,4,,107602,Positive,, 10/12/2019 @ 21:26:17,
107625n4,,,,true,,,4,,107625,Positive,, 9/12/2019 @ 17:0:51,
107667n4,,,,true,,,4,,107667,Positive,, 9/12/2019 @ 17:0:39,
107703n4,,,,true,,,4,,107703,Positive,, 10/12/2019 @ 21:25:22,
107713n4,,,,,,,4,,107713,Positive,true, 3/12/2019 @ 14:14:53,
107779n4,,,,true,,,4,,107779,Positive,, 10/12/2019 @ 21:15:11,
107803n4,,,,true,,,4,,107803,Positive,true, 4/12/2019 @ 16:37:19,
107854n4,,,,true,,,4,,107854,Positive,, 10/12/2019 @ 21:4:1,
107858n4,,,,true,,,4,,107858,Positive,, 9/12/2019 @ 21:9:50,
107906n4,,,,true,,,4,,107906,Positive,, 6/12/2019 @ 18:19:1,
107956n4,,,,true,,,4,,107956,Positive,, 5/12/2019 @ 12:25:26,
107978n4,,,,true,,,4,,107978,Positive,, 5/12/2019 @ 20:39:28,
107993n4,,,,true,,,4,,107993,Positive,, 7/12/2019 @ 18:6:14,
108002n4,,,,true,,,4,,108002,Positive,, 9/12/2019 @ 17:0:47,
108029n4,,,,,,,4,,108029,Positive,true, 3/12/2019 @ 14:27:11,
108114n4,,,,true,,,4,,108114,Positive,, 9/12/2019 @ 21:9:2,
108123n4,,,,true,,,4,,108123,Negative,, 5/12/2019 @ 20:43:9,
108197n4,,,,true,,,4,,108197,Positive,, 7/12/2019 @ 18:1:39,
108269n4,,,,true,,,4,,108269,Positive,, 5/12/2019 @ 12:40:37,
108283n4,,,,true,,,4,,108283,Positive,, 5/12/2019 @ 12:55:26,
108312n4,,,,,,,4,,108312,Positive,true, 3/12/2019 @ 14:10:35,
108332n4,,,,true,,,4,,108332,Positive,, 5/12/2019 @ 13:5:53,
108334n4,,,,true,,,4,,108334,Positive,, 4/12/2019 @ 16:29:34,
108353n4,,,,true,,,4,,108353,Positive,, 9/12/2019 @ 16:48:18,
108385n4,,,,true,,,4,,108385,Positive,, 5/12/2019 @ 12:53:21,
108404n4,,,,true,,,4,,108404,Positive,, 5/12/2019 @ 13:7:44,
108434n4,,,,,,,4,,108434,Positive,true, 3/12/2019 @ 14:29:35,
108543n4,,,,true,,,4,,108543,Positive,, 5/12/2019 @ 20:42:45,
108671n4,,,,true,,,4,,108671,Positive,, 6/12/2019 @ 16:25:39,
108683n4,,,,true,,,4,,108683,Positive,, 10/12/2019 @ 21:19:30,
108687n4,,,,true,,,4,,108687,Positive,, 6/12/2019 @ 16:17:20,
108769n4,,,,true,,,4,,108769,Positive,, 5/12/2019 @ 20:48:26,
108848n4,,,,true,,,4,,108848,Positive,, 9/12/2019 @ 16:15:35,
108852n4,,,,true,,,4,,108852,Positive,, 10/12/2019 @ 21:12:31,
109161n4,,,,true,,,4,,109161,Negative,, 10/12/2019 @ 21:20:7,true
109290n4,,,,,,trueJust a statement,4,,109290,Positive,, 6/12/2019 @ 17:52:58,
109294n4,,,,true,,,4,,109294,Positive,true, 10/12/2019 @ 21:29:38,
109370n4,true,,,,,,4,,109370,Negative,, 4/12/2019 @ 16:17:2,
109445n4,,,,true,,,4,,109445,Negative,, 10/12/2019 @ 21:27:41,
109466n4,true,,,,,,4,,109466,Negative,, 6/12/2019 @ 18:17:33,
109503n4,,,,,true,,4,,109503,Positive,, 10/12/2019 @ 21:26:44,
109506n4,,,,true,,,4,,109506,Positive,, 5/12/2019 @ 20:45:10,
109550n4,,,,true,,,4,,109550,Positive,, 10/12/2019 @ 21:19:24,
109632n4,,,,true,,,4,,109632,Negative,, 5/12/2019 @ 20:43:15,
109955n4,,,,,true,,4,,109955,Negative,, 5/12/2019 @ 20:35:33,
109978n4,,,,,,,4,,109978,Positive,, 9/12/2019 @ 16:57:43,true
110012n4,,,,,true,,4,,110012,Positive,, 3/12/2019 @ 14:24:2,
110098n4,,,,true,,,4,,110098,Negative,, 9/12/2019 @ 16:43:27,
110462n4,,,,true,,,4,,110462,Positive,, 9/12/2019 @ 16:10:41,
110615n4,,,,true,,,4,,110615,Positive,true, 5/12/2019 @ 20:45:16,
110622n4,,,,,true,,4,,110622,Positive,, 9/12/2019 @ 16:16:21,
110642n4,,true,,,true,,4,,110642,Positive,, 6/12/2019 @ 16:17:52,
110683n4,,,,true,,,4,,110683,Negative,, 3/12/2019 @ 14:9:37,
110700n4,,,,true,,,4,,110700,Negative,, 9/12/2019 @ 17:0:57,
110701n4,,,,,,,4,,110701,Positive,, 4/12/2019 @ 16:23:8,true
110815n4,,,,,,,4,,110815,Positive,, 10/12/2019 @ 21:27:36,true
110820n4,,,,true,,trueAre they upset that there isn't a CHAdeMO? Are they remarking the presence of a CHAdeMO? I dunNO,4,,110820,Positive,, 10/12/2019 @ 21:18:36,
111116n4,,,,,,,4,,111116,Negative,, 4/12/2019 @ 9:42:7,true
111185n4,,,,true,,,4,,111185,Negative,, 4/12/2019 @ 16:26:4,
111206n4,true,,,,,,4,,111206,Negative,, 6/12/2019 @ 16:17:30,
111244n4,,,,true,,,4,,111244,Negative,, 4/12/2019 @ 9:47:56,
111248n4,,,,true,,,4,,111248,Negative,, 9/12/2019 @ 16:19:44,
111250n1,true,true,true,true,true,,1,true,111250,Negative,, 29/11/2019 @ 16:40:11,
111250n2,,true,true,,true,,2,true,111250,Negative,, 27/11/2019 @ 13:39:10,
111250n3,,true,true,,true,,3,,111250,Negative,, 30/11/2019 @ 19:38:25,true
111250n4,,true,true,,true,,4,,111250,Negative,, 4/12/2019 @ 16:10:8,
111250n5,true,true,true,true,true,,5,true,111250,Positive,true, 1/12/2019 @ 17:56:14,true
111291n1,,,,,,,1,true,111291,Negative,, 29/11/2019 @ 17:9:35,true
111291n2,,,,,,,2,,111291,Positive,, 27/11/2019 @ 13:57:57,true
111291n3,,,,,,,3,true,111291,Positive,, 30/11/2019 @ 20:11:58,true
111291n4,,,,,,,4,,111291,Negative,, 1/12/2019 @ 14:19:27,true
111291n5,,,,,,,5,true,111291,Positive,, 1/12/2019 @ 18:39:23,true
111585n4,,,,true,,,4,,111585,Positive,, 10/12/2019 @ 21:25:54,
111586n4,,,true,true,,,4,,111586,Negative,, 3/12/2019 @ 14:27:4,
111605n4,true,,,,,,4,,111605,Negative,, 10/12/2019 @ 21:23:57,true
111695n4,,,,true,,,4,,111695,Negative,, 5/12/2019 @ 13:5:16,
111720n4,,,,true,,,4,,111720,Negative,, 6/12/2019 @ 16:20:47,
111939n4,true,,,,true,,4,,111939,Negative,, 5/12/2019 @ 12:20:15,
111959n4,,,,true,true,,4,,111959,Negative,, 5/12/2019 @ 12:25:4,
112035n4,,,,,true,,4,,112035,Negative,, 5/12/2019 @ 12:21:47,
112067n4,,,,true,,,4,,112067,Negative,, 5/12/2019 @ 12:45:12,
112147n4,,,,true,,,4,,112147,Positive,, 9/12/2019 @ 16:38:11,
112353n4,,,,true,,,4,,112353,Negative,, 10/12/2019 @ 21:14:40,
112532n4,true,,,,,,4,,112532,Negative,, 5/12/2019 @ 20:40:10,
112559n4,,,,,true,,4,,112559,Negative,, 10/12/2019 @ 21:15:6,
112614n4,,,,true,true,,4,,112614,Positive,, 5/12/2019 @ 20:45:6,
112875n4,,,,,,,4,,112875,Positive,, 4/12/2019 @ 16:22:42,true
113026n4,,,,,,,4,,113026,Positive,true, 5/12/2019 @ 12:26:51,
113032n1,true,,true,,true,,1,,113032,Negative,, 29/11/2019 @ 17:57:33,
113032n2,true,,,true,,,2,,113032,Negative,, 27/11/2019 @ 14:13:6,
113032n3,true,,true,,,,3,,113032,Negative,, 1/12/2019 @ 11:21:25,
113032n4,true,,,,,,4,,113032,Negative,, 1/12/2019 @ 21:27:10,
113032n5,true,,true,true,,,5,,113032,Positive,, 1/12/2019 @ 19:17:19,true
113044n4,,,,,,,4,,113044,Positive,, 10/12/2019 @ 21:13:3,true
113058n4,,,,true,true,,4,,113058,Negative,, 10/12/2019 @ 21:27:19,
113097n4,,,,,,,4,,113097,Positive,, 5/12/2019 @ 20:40:22,true
113181n4,,,,true,,,4,,113181,Negative,, 6/12/2019 @ 16:17:36,
113194n4,true,,,,true,,4,,113194,Negative,, 4/12/2019 @ 16:36:54,
113384n4,,,,true,true,,4,,113384,Positive,, 6/12/2019 @ 16:11:2,
113593n4,true,,,,true,,4,,113593,Positive,, 9/12/2019 @ 17:0:34,
113641n4,true,,,,true,,4,,113641,Negative,, 5/12/2019 @ 12:50:2,
113892n4,true,,,true,,,4,,113892,Negative,, 3/12/2019 @ 14:25:15,
114020n4,,,,true,,,4,,114020,Negative,, 3/12/2019 @ 14:14:47,
114187n4,true,,,true,,,4,,114187,Negative,, 4/12/2019 @ 16:22:52,
114260n4,true,,,,,,4,,114260,Positive,, 3/12/2019 @ 14:12:0,
114275n4,true,,,true,,,4,,114275,Negative,, 10/12/2019 @ 21:27:6,
11427n1,,,,true,,,1,,11427,Negative,, 29/11/2019 @ 16:48:33,
11427n2,,,,true,,,2,,11427,Negative,, 27/11/2019 @ 13:43:17,
11427n3,,,,true,,,3,,11427,Negative,, 30/11/2019 @ 19:51:58,
11427n4,,,,true,,,4,,11427,Negative,, 27/11/2019 @ 16:31:55,
11427n5,,,,true,,,5,,11427,Negative,, 1/12/2019 @ 18:7:54,true
114478n4,,,,,true,,4,,114478,Negative,, 5/12/2019 @ 12:24:32,
114558n4,,,,,,,4,,114558,Positive,, 10/12/2019 @ 21:11:21,true
114699n4,,,,true,,,4,,114699,Positive,, 10/12/2019 @ 21:28:41,
114752n4,,,,true,,,4,,114752,Positive,true, 4/12/2019 @ 16:17:52,
114757n4,,,,true,,,4,,114757,Negative,, 10/12/2019 @ 21:28:22,
114853n4,,,,,true,,4,,114853,Positive,, 10/12/2019 @ 21:19:37,
114973n4,,,,true,,,4,,114973,Negative,, 7/12/2019 @ 18:6:48,
115121n4,true,,,,true,,4,,115121,Negative,, 10/12/2019 @ 21:13:9,
115167n4,,true,,true,,,4,,115167,Positive,, 10/12/2019 @ 21:5:47,
115201n4,,,,,,,4,true,115201,Negative,, 10/12/2019 @ 21:19:45,
115258n1,,,,true,,,1,true,115258,Negative,, 29/11/2019 @ 17:1:54,
115258n2,,,,true,,,2,true,115258,Positive,, 27/11/2019 @ 13:52:5,
115258n3,true,,,,true,,3,true,115258,Positive,, 30/11/2019 @ 20:2:35,
115258n4,,,,true,,,4,true,115258,Positive,true, 1/12/2019 @ 14:9:43,
115258n5,true,,,true,,,5,true,115258,Positive,, 1/12/2019 @ 18:25:0,
115265n4,,,,true,,,4,,115265,Positive,, 3/12/2019 @ 14:22:45,
115355n4,true,,,,,,4,,115355,Negative,, 10/12/2019 @ 21:14:4,
115374n4,true,,,,true,,4,,115374,Positive,, 10/12/2019 @ 21:22:16,
115486n4,,,,true,,,4,,115486,Positive,, 7/12/2019 @ 17:53:32,
1154n1,,,true,,true,,1,,1154,Negative,, 29/11/2019 @ 18:6:14,
1154n2,,,true,,true,,2,,1154,Negative,, 27/11/2019 @ 14:23:56,
1154n3,,,true,true,true,,3,,1154,Negative,, 6/12/2019 @ 15:13:31,
1154n4,true,,true,,true,,4,,1154,Negative,, 3/12/2019 @ 14:8:52,
1154n5,true,,true,,true,,5,,1154,Negative,, 1/12/2019 @ 19:32:30,true
115542n4,true,,,,true,,4,,115542,Negative,, 9/12/2019 @ 16:54:13,
115609n4,,true,,,,,4,,115609,Negative,, 10/12/2019 @ 21:25:11,
115868n4,,,,,true,,4,,115868,Positive,, 4/12/2019 @ 16:34:46,
115990n1,,,true,,,,1,,115990,Negative,, 29/11/2019 @ 16:53:25,
115990n2,,,,,true,,2,,115990,Negative,, 27/11/2019 @ 13:47:37,
115990n3,,,true,,,,3,,115990,Negative,, 30/11/2019 @ 19:56:4,
115990n4,,,true,,true,,4,,115990,Negative,, 27/11/2019 @ 16:44:44,
115990n5,,,true,true,true,,5,,115990,Negative,, 1/12/2019 @ 18:15:16,true
116018n4,,,,true,true,,4,,116018,Negative,, 5/12/2019 @ 20:35:7,
116137n4,,,true,true,,,4,,116137,Negative,, 9/12/2019 @ 21:9:17,
116352n4,,,,,true,,4,,116352,Positive,, 10/12/2019 @ 21:22:50,
116598n4,,,,,true,,4,,116598,Positive,, 10/12/2019 @ 21:5:17,
116601n4,,,,,true,,4,,116601,Negative,, 6/12/2019 @ 18:6:7,
116626n4,,,,,,,4,,116626,Positive,, 10/12/2019 @ 21:5:31,true
116873n4,true,,,,,,4,,116873,Negative,, 6/12/2019 @ 16:17:15,
117133n4,,,,true,,,4,,117133,Negative,, 5/12/2019 @ 12:44:22,
117201n4,true,,,true,,,4,,117201,Positive,, 10/12/2019 @ 21:27:32,
117270n4,,,,,true,,4,,117270,Negative,, 4/12/2019 @ 16:16:46,
117346n4,true,,,true,,,4,,117346,Negative,, 10/12/2019 @ 21:20:14,
117383n4,,,,true,,,4,,117383,Negative,, 9/12/2019 @ 16:52:3,
117432n4,true,,,,true,,4,,117432,Negative,, 10/12/2019 @ 21:32:34,
117522n4,true,,,,,,4,,117522,Negative,, 9/12/2019 @ 17:0:23,
117543n4,,true,,true,true,,4,,117543,Positive,, 3/12/2019 @ 14:13:5,
117598n4,,,,true,,,4,,117598,Negative,, 10/12/2019 @ 21:28:17,
117618n4,,,,true,,,4,,117618,Negative,, 6/12/2019 @ 16:10:27,
117723n4,,,,,true,,4,,117723,Positive,, 10/12/2019 @ 21:24:59,
117886n4,,,,true,,,4,,117886,Negative,, 9/12/2019 @ 21:16:37,
118157n4,,,,,true,,4,,118157,Positive,, 4/12/2019 @ 9:55:6,
118339n4,,,,,true,,4,,118339,Positive,, 4/12/2019 @ 16:40:22,true
118809n4,true,true,,,,,4,,118809,Positive,, 4/12/2019 @ 16:37:55,
118833n4,,true,,,,,4,,118833,Positive,, 5/12/2019 @ 12:24:38,
118898n4,,,,true,,,4,,118898,Negative,, 10/12/2019 @ 21:29:27,
118974n1,,true,,true,,,1,,118974,Positive,, 29/11/2019 @ 18:6:0,
118974n2,,true,,true,,,2,,118974,Positive,, 27/11/2019 @ 14:23:40,
118974n3,,true,,,,,3,true,118974,Positive,true, 6/12/2019 @ 15:13:5,
118974n4,,true,,true,true,,4,,118974,Positive,, 3/12/2019 @ 14:7:59,
118974n5,,true,,true,,,5,true,118974,Positive,, 1/12/2019 @ 19:31:59,true
118976n4,,,,true,,,4,,118976,Negative,, 10/12/2019 @ 20:56:49,
119028n1,,,true,,true,,1,,119028,Positive,, 29/11/2019 @ 17:59:16,
119028n2,,,,,true,,2,true,119028,Positive,, 27/11/2019 @ 14:15:1,
119028n3,,,,true,true,,3,,119028,Positive,, 6/12/2019 @ 14:55:58,
119028n4,,,,,true,,4,,119028,Positive,, 1/12/2019 @ 21:30:17,
119028n5,,,true,true,true,,5,true,119028,Positive,, 1/12/2019 @ 19:19:47,
119058n4,,,true,,,,4,,119058,Positive,, 9/12/2019 @ 21:8:55,
119173n4,,,,,true,,4,,119173,Positive,true, 5/12/2019 @ 12:50:48,
119557n4,true,,,,,,4,,119557,Negative,, 10/12/2019 @ 21:12:22,
119635n4,,,,true,,,4,,119635,Negative,, 10/12/2019 @ 21:22:36,
119980n4,,,,,true,,4,,119980,Positive,, 10/12/2019 @ 21:13:25,
120053n4,true,,,,,,4,,120053,Negative,, 10/12/2019 @ 21:24:26,
120103n4,,,,true,,,4,,120103,Negative,, 10/12/2019 @ 21:32:27,
120264n4,,,,true,,,4,,120264,Negative,, 4/12/2019 @ 16:15:30,
120405n4,true,,,,true,,4,,120405,Negative,, 4/12/2019 @ 16:37:12,
120419n4,,,,true,,,4,,120419,Negative,, 6/12/2019 @ 17:52:36,
120430n4,,,,true,,,4,,120430,Positive,true, 10/12/2019 @ 21:17:33,
120467n4,,,,true,,,4,,120467,Negative,, 9/12/2019 @ 21:16:42,
120496n1,,,,,true,,1,true,120496,Positive,, 29/11/2019 @ 17:6:35,
120496n2,,,,true,,,2,true,120496,Positive,, 27/11/2019 @ 13:56:5,
120496n3,,,,true,true,,3,true,120496,Positive,, 30/11/2019 @ 20:7:30,
120496n4,,,,true,true,,4,,120496,Positive,, 1/12/2019 @ 14:16:1,
120496n5,,,,true,true,,5,true,120496,Positive,, 1/12/2019 @ 18:32:38,
120531n4,,,,,true,,4,,120531,Positive,, 10/12/2019 @ 21:13:14,
120612n4,,,,true,,,4,,120612,Negative,, 5/12/2019 @ 20:42:40,
120712n4,,,,,true,,4,,120712,Positive,, 5/12/2019 @ 20:45:30,true
120772n1,,,,true,,,1,,120772,Positive,true, 29/11/2019 @ 16:40:45,
120772n2,,,,,,,2,,120772,Positive,true, 27/11/2019 @ 13:39:24,
120772n3,,,,,,,3,,120772,Positive,true, 30/11/2019 @ 19:39:2,
120772n4,,,,,,,4,,120772,Positive,true, 27/11/2019 @ 16:7:25,
120772n5,,,,,,,5,,120772,Positive,true, 1/12/2019 @ 17:57:9,true
120804n4,,,,true,,,4,,120804,Negative,, 10/12/2019 @ 21:33:19,
120937n4,,,,,true,,4,,120937,Positive,, 4/12/2019 @ 16:32:37,
120968n4,,,,,,,4,,120968,Negative,true, 9/12/2019 @ 16:59:57,
121100n4,,,,true,,,4,,121100,Positive,, 9/12/2019 @ 17:1:12,
121116n4,true,,,,,,4,,121116,Negative,, 5/12/2019 @ 12:51:2,
121222n4,,,,true,,,4,,121222,Negative,, 4/12/2019 @ 16:15:42,
121254n4,,,,,true,,4,,121254,Positive,, 5/12/2019 @ 12:52:4,
121281n4,,,,,true,,4,,121281,Positive,, 4/12/2019 @ 16:15:37,
121322n4,,,,true,,,4,,121322,Negative,, 6/12/2019 @ 18:22:29,
121337n4,,true,,,,,4,,121337,Negative,, 7/12/2019 @ 18:32:50,true
121569n4,,,,true,,,4,,121569,Negative,, 6/12/2019 @ 17:52:4,
121609n4,,,,,true,,4,,121609,Positive,, 5/12/2019 @ 13:1:13,
121635n4,,,,,true,,4,,121635,Negative,, 10/12/2019 @ 21:33:0,
121742n4,true,,,,,,4,,121742,Negative,, 10/12/2019 @ 21:4:29,
