,id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
7919,85510,"Tom, it is a metro station. People drive many miles to get there,plug-in  and take a train to work or to get someplace far away. I'm lobbying metro to change the signs to reflect the real purpose of the lot which is to allow daily EV metro commuters the ability to have a charged car when they return back from their journey. Metro should have installed many L1 outlets to accompany the L2 so people can top off via L2 at the end of the day & use L1 during the day.",1,1,0,0,0,1,0,0
2155,256678,Two free chargepoint units.,1,0,1,1,0,0,0,0
1727,267644,"Single CHAdeMO quick charger is still down. Jeremy_eVgo, can you please provide an update on this charger?",1,0,0,0,0,0,0,0
3141,231326,Combo station wouldn't read my EVGo card.,1,0,0,0,0,0,0,0
5776,168512,Charged last night for two hours. Got about 15 miles out of i (not great).  Only one plug!  Did a remote start and the charger just shut off.,1,0,0,0,0,0,1,0
3697,218712,Charging at the CHAdeMO quick charger in the back,1,0,0,0,1,0,0,0
3852,215352,Backing into spot for Tesla owners is tricky in peak times.  I ask the attendant to help with traffic.  The cord may reach if I pulled in but haven't tried yet. ,0,0,0,0,0,1,0,0
95,307538,Not on P2 as all the security people believe. Works great,1,0,0,0,0,1,0,0
8253,78395,"Enter FIT at Panther Place, which is 1/4 mile south of the main, University Dr. entrance. Turn right into free garage (labelled Visitor Parking), then immediate right turn. Turn left to find EVSE hidden behind the wall, and under the ramp! 2 parking spaces.",0,0,1,1,0,1,0,0
9663,50470,"DCFC station is now available for use, see separate station file.",1,0,1,0,1,0,0,0
3358,226320,This spot has been ICE'd for the last 3 months during class times.  Complained to OSU parking services but still ICE'd everyday....,0,0,1,0,0,0,0,0
9171,59735,still not working ... it says the emergency shutoff needs to be reset.,1,0,0,0,0,0,0,0
4280,205667,An unmarked police Impala ICEing the remaining working station. WTF!,0,0,1,0,0,0,0,0
1267,278854,Error code history on charger showed emergency stop faults. Ensure that the emergency stop switch (round red button on CHAdeMO door) is not activated. Rotate button clockwise to disengage and close the circuit within the charger. Happy charging. ,1,0,0,0,1,0,0,0
1661,269619,The besr,1,0,0,0,0,0,0,0
6421,153207,Dead dead dead. ,1,0,0,0,0,0,0,0
865,287564,At the fast charger,1,0,0,0,1,0,0,0
8037,83094,several 14-50 rv hookups free of charge,1,0,1,1,0,0,0,0
5556,173911,Out of service,1,0,0,0,0,0,0,0
10047,41956,The tesla super charging station here only charges the roadster not for model s.  The next station over is operated by chargepoint and works well ,1,0,0,0,0,1,0,1
3647,220081,In parking lot beside tourist center.  Behind McDonald's restaurant.  ,0,0,0,0,0,1,0,0
8261,78113,"There are multiple EVs parking near this charger. I have driven by and seen a Tesla, a Leaf, two Volts, AND a C-Max.

I think the DHL employees need to petition for more chargers.",0,0,1,0,0,1,0,1
2278,253331,Thank You Sigora solar for having a charging station in the perfect spot!  Charged up while eating at a local diner midway through my trip from front Royal to Roanoke.,1,1,0,0,0,1,0,0
3025,234054,"I stopped my CHAdeMO session to allow a Chevy Spark to try the SAE since it did not work for i3 or the eGolf. Spark stated they did not hear the ""click"" when inserted. I personally attempted to re-insert, did not hear click. Person then tried the NRG card for s & g's and voila. It stated charging. All I can say is make sure the connector is seated 'properly' when using the SAE.",1,0,0,0,0,0,0,0
5765,168897,"one screen requires a bit of manhandling, the other seems okay.",1,0,0,0,1,0,0,0
5948,164290,This time I charged about an hour at the gas station in front of the Family Dollar.  I asked before plugging.  You can also use the outlet of the nearby pharmacy after getting permission (did it 3 month ago).  Always ask permission before.,1,0,0,0,1,1,0,0
1235,279687,I will check this charger on my way home. Currently at the Nissan off of 394,0,0,0,0,0,0,0,1
7064,138851,AV's charging policy is clearly stated on a sign placed near the charger. Guard is very friendly and will let you charge if you are low on power.  ,0,1,0,0,0,1,0,0
8114,81252,All done. Enjoy!,1,0,0,0,0,0,0,0
9133,60490,"the EVSE closest to 8th & Willamette has a cracked j1772 connector, preventing it from being plugged into vehicle.",1,0,1,0,0,1,0,0
4484,201221,As of 1/2015 this station was inoperative and showed no sign of ever having been used!!  It is located in the basement and cluttered with motorcycles and storage.,1,0,0,0,0,1,0,0
9729,49228,Tesla Model S charges up to 80amps,1,0,0,0,0,0,1,1
7158,136849,Very nice setup and free.  Four level 2 clipper creek chargers and four marked out spaces for them as well.,0,0,0,0,0,1,0,0
344,301152,Please make sure your car is actively charging when you walk away. Otherwise you extend your 4 hour limit and take away time from others who are waiting.  ,0,0,1,0,1,0,0,0
663,292994,Had to press the START button on the touch screen a few times for unit to start charging.,1,0,0,0,0,0,0,0
2972,235328,2A started off slowly at around 38 kW.  Maybe because of the temperature?,1,0,0,0,0,0,1,0
7368,121742,having a bite at panera. 2 spots available one iced.,0,0,1,0,0,0,0,0
2835,239140,"Nrg never seems to charge up to 100% for their DC fast chargers, which honestly seems a bit unfair with the flat hookup fee of $4.95 with the occasional use account (plus 20¢ per KWH). This one took me up to 93%  which I suppose is close enough.  :^\",1,0,0,1,0,0,0,0
7682,100257,"Because of an urgent matter that suddenly arose, I found myself with 25% battery on my Leaf in Kaneohe...perhaps I could make it back over the Pali into Town, but I figured I'd take a stab at the charger at King Windward Nissan.  5 Jerk Off Salesmen hanging in the front. Two brand new Leafs in the charger stalls, but not plugged in. When I asked if I could plug in, they claimed there were 4 cars in line ahead of me waiting to be charged.  I'm sure they said that because they saw my Leaf had license plate frames from New City Nissan.  So I left to take care of the matter.   I passed by 45 minutes later, and wouldn't you know it, the same two brand new Leafs were still in the stalls, NOT plugged in.  Guess who will never be interested in being a King Windward Nissan Lifetime Friend?
No Aloha, you'll NEVER get my business...",0,1,0,0,0,1,0,1
2191,255571,Need a full charge. Will be back @ 8:30am to pick the car up.,0,0,0,0,1,0,0,0
6272,156948,"With the increase in electric vehicles, it is becoming more and more difficult to park here. ",0,0,1,0,0,0,0,0
2589,245132,"First come, first serve. No priority at all.",0,0,1,0,0,0,0,0
3408,225175,Occupied ,0,0,1,0,0,0,0,0
7180,136422,"Bummer! I was looking forward to a much needed QC, and that error message is still showing its ugly head. Had to resort to as brief level 2 charge instead to bump me back to South Burlington. :(
Level 2 is giving 6kW per the ChargePoint station, 5.5kW per LEAFspy app on my phone.",1,0,0,0,0,0,1,0
339,301221,RFID cards are working now,1,0,0,0,0,0,0,0
9164,59880,Charge was very little for 90 minutes. Less than 8 Kw.  Blink will tip you off if you don't watch them,1,0,0,1,0,0,1,0
253,303616,waiting to charge ,0,0,1,0,0,0,0,0
7219,133557,*Passing through town.....,0,0,0,0,0,1,0,0
3155,230983,"On the Level 2 stations, the lights turn from Green when in Power Standby to Blue when Charging in progress.  ",0,0,0,0,1,0,0,0
3800,216265,Card sensor not very sensitive but worked in the end. Took a few tries. ,1,0,0,0,0,0,0,0
8529,72938,Both L1 outlets kept faulting which is disappointing because I only needed to charge for about 90 mins. I used the L2 instead.,1,0,0,0,0,0,0,0
4966,188095,"Cost for parking is $3.00 for first hour and $2.00 per half-hour, each half-hour thereafter up to daily maximum of $30.00. No charge for charging.",0,0,0,1,0,0,0,0
5998,163361,Charging wonderfully,1,0,0,0,0,0,0,0
8233,78804,Unit seemed dead. ,1,0,0,0,0,0,0,0
252,303664,Thanks again UNG and EnviroSpark,1,0,0,0,0,1,0,0
6198,158337,Ojai Days.... Parking lot inaccessible. ,0,0,1,0,0,0,0,0
6212,158101,only one quick charge.,1,0,0,0,0,0,0,0
2329,252032,Stuck here waiting for an unattended and not charging dealership car to be moved so that I can begin charging. I am getting a bit tired of cars being stuck in this manner at dealerships. ,0,0,1,0,0,0,0,1
7819,89350,"charger not working.  Eaton charger had upgrade, but now not working.  They are calling company to see what the issue is.",1,0,0,0,0,0,0,0
9884,46069,Charged at 90 kW.,1,0,0,0,0,0,1,0
5031,186562,#3 screen non responsive and didn't respond to phone app. #2 works.,1,0,0,0,0,0,0,0
8598,71395,"L3 chargers are dead, L2 charger has power but is malfunctioning. Blink has no estimated repair date. Hopeless!!",1,0,0,0,0,0,0,0
6878,142880,"The Parkmobile app is not user friendly... Charge time begins as soon as payment is accepted through the app, so be sure to have your vehicle plugged in and pin handy(please hit the # after pin, instructions do not tell you this). We lost about 12 minutes due to poor instructions on the sigh and no phone number to call for assistance. They have a email that will contact you within 48 hours. Thanks Parkmobile, we will avoid these charging locations for now on._x1f44e__x1f44e__x1f44e_",1,0,0,0,1,0,0,1
3119,231863,"left hpwc works great, right does not. Thank you for your generosity! might I suggest removing the non, functioning hpwc, then turning up the power on the good one to 80 amps? would allow charges at 2x the speed allowing people to charge and move their cars quicker.   Cheers!!! I will return for a overnight stay this summer!",1,0,0,0,0,0,0,0
6866,142980,"I charged to 85% on DCFC. Neede a ChargePoint card to activate. I called the phone number on the DCFC to ask how much I was being charged, and the lady said that the unit was non-functional. I assured her that I was at that moment charging with the unit. She could not get pricing information on the unit because her computer thought the DCFC was off-line. Can't answer an accounting question because there is a technical issue with the charger? Weird. Charge was successful so I suppose all is well.",1,1,0,0,0,0,0,0
136,306403,Behind the McDonald's ,0,0,0,0,0,1,0,0
3018,234323,"you would think people would take better care of this equipment, cables all over the place to get run over. ",0,0,0,0,1,0,0,0
189,304963,Yes. They all appear to be functioning. I also checked the RFID readers and screens on the L-2s. I went up the east side of Palomar and used one DCFC on the way up and the other one on the way down. Both charged me to 80%.,1,0,0,0,0,0,0,0
4351,204226,"These charging spots need to have the green paint Electric Vehicle parking logo painted on the floor. This would designate these spots as being special charging spots. May solve the ""ICE"" issue without having to tow cars. ",0,0,1,0,0,1,0,0
3533,222418,"The DC fast charger is fixed!   I recharged the Tesla at 132 miles/hour at this location.  Peak Volts = 312, Amps = 124.  Thanks for the quick fix!",1,0,0,0,0,0,1,0
5121,184756,I can't believe that they installed two fast charger in a parking garage expensive as this one. The point of fast charging is waiting in the car for 20 min for the charge to complete not park the whole day and drop $10 or even $20 depending on the day.,0,0,1,1,0,0,1,0
5864,166381,I spoke with Blink customer service and reported the issue.  Two new screens were approved for replacement on 11/7 and are awaiting replacement by a contractor very soon.,1,0,0,0,0,1,0,0
2844,238963,"Worked fine today, guessing volta needs software update.",1,0,0,0,0,0,0,0
582,295084,"Packed because of Megafest, but was still able to charge.  Spots ICE'd, so I parked in aisle to charge.  Peak Volts = 199, Amps = 80.  Getting 44 miles/hour at this location.",0,0,1,0,0,0,1,0
1156,281336,"The dealership is in the process of repairing the fast charge station. Thanks, Greenlots",1,0,0,0,0,0,0,1
6566,149864,"Reported: ""No one answers phone on Sunday. Charging NON ACCESSIBLE IN LOCKED GARAGE.""",0,0,1,0,0,0,0,0
4995,187335,Should be around 30-45 minutes. Another car is using the 2nd charger right now.,0,0,1,0,0,0,1,0
3708,218371,nissan dealership shouldn't charge Nissan EV customers to charge their EV car at their place.  It's should be free.,0,0,0,1,0,0,0,1
4193,207705,Gave the plug a firm push and it went straight in and locked in. ,1,0,0,0,0,0,0,0
5094,185171,Ford Cmax,0,0,0,0,0,0,0,1
3860,215219,"Both spots ICE'd., and would you believe one was taken by a Frederick law enforcement officer.   We let the staff at MOM's know. One staffer seemed less than concerned and said it was normal for the weekend. However the woman at the checkout was apologetic, polite and very responsive. Bummer we couldn't charge while shopping at MOM's. Bummer FPD was setting such a bad example. ",0,0,1,0,0,0,0,0
2782,240461,"my wife and I found the charge point chargers at Lovell finally. They are way left of where you enter the Hospital gate, and when we were there there were two US Govt Chevy Volts plugged in. There were ""US
official vehicles only"" signs too.
Don't think these Chargers are public. Sad.",0,0,0,0,0,1,0,0
5737,169624,"Used CHAdeMO this morning. Took several tries to connect successfully. Have to push connector FIRMLY straight into mating port on car, so that release button on the connector pops out all the way. If not fully seated, button appears to have (almost) popped out, but attempt will fail with error message.",1,0,0,0,1,0,0,0
3180,230387,Friendly staff let me charge Volt.,0,0,0,0,0,1,0,0
3984,212845,2 available chargers & parking spots! ,0,0,1,0,0,0,0,0
5039,186313,The whole parking lot is closed because it is being paved. Not sure how it'll take to reopen. ,0,0,1,0,0,0,0,0
9492,54363,Spots full - all LEAFs but  one confused or jerk non-plugin Prius ,0,0,1,0,0,0,0,1
882,286932,These chargers have been shut off over a month because of this wildly unsuccessful sidewalk bar. ,1,0,0,0,0,1,0,0
8973,63546,There is one plug for two spots. Tesla owners bring you plugs just in case! I had to go back and see if a chord was available before I could plug in.  Charging is free but parking is not. ,0,0,1,1,1,1,0,1
4107,209723,Too many cars waiting for the limited plugs. ,0,0,1,0,0,0,0,0
8543,72723,Great charge. After topping off for 15 mins in chiraco summit (110 miles rated range) I coasted in with 2 miles left. If you plan on driving 75-80mph from the summit then get some more juice than I had to be safe.,1,1,0,0,1,0,1,0
8923,64557,Parking lot chained. Sign says opens at 10AM,0,0,0,0,0,1,0,0
1636,270368,15-40 works ,1,0,0,0,0,0,0,0
2343,251680,$8.00 to use a wall plug is pretty steep :/,0,0,0,1,0,0,0,0
3637,220369,Amps sped up - maxed at 115mi/hr time to move on. ,0,0,0,0,0,0,1,0
8488,73878,Left side works. Right side still down,0,0,0,0,0,1,0,0
2148,256866,One person ahead of me. ..only waited 3 minutes. Staff very friendly. Thank you Nissan of Concord. ,0,0,1,0,0,1,0,1
749,290601,Love my Leaf! Left Valdese with only 12 miles left...Made it with 6 miles left! ,0,1,0,0,0,0,0,1
3643,220157,"Dropped from 400 Volts rather quickly, but still charging just fine.",1,0,0,0,0,0,1,0
4114,209617,Red Robin. Yum.,0,0,0,0,0,1,0,0
4249,206513,"Can't believe it was available! And a good thing, I was down to 15%.  :-)",0,1,1,0,0,0,0,0
937,285555,Is this station open to the public or just emplyees?,0,0,0,0,1,1,0,0
270,303268,"Security had to let me in this late, but they were very nice about it.",0,0,0,0,0,1,0,0
192,304888,One has to have a special card to use this thing?  How stupid can they possibly be?  Credit cards now have chips in them that can be read.  ,0,0,0,1,0,0,0,0
7101,137992,Using the L1 port.,0,0,0,0,1,0,0,0
8874,65357,Always a spot available,0,0,1,0,0,0,0,0
8369,75697,Could not charge because all the spaces were full.  Drove the car in to turn around but the female guard was unhappy about the fact that I drove in to turn the car around to exit. ,0,0,1,0,0,1,0,0
6768,145375,"really nice folks. I recharged my motorcycle there, no cost!",1,0,0,0,0,1,0,0
8525,72969,All bays wide open,0,0,1,0,0,0,0,0
6756,145702,"Tested Nissan's ""No Charge to Charge"" EZ-Charge card hare and it worked fine - and no charge.",1,0,0,0,0,0,0,1
7494,112067,Worked just fine.  You still have to press the start button a couple times.,1,0,0,0,0,0,0,0
1187,280546,One of the quick charge stations has been down for a long time ID#N299DC1,1,0,0,0,0,0,0,0
5796,167909,Level 2 and 3 chargers not working.  Customer support helpful but they couldn't get either to juice the car,1,0,0,0,0,1,0,0
2869,238097,"Addendum to April 20, 2015 note: Charged with L2 equipment. Did not test L3. Worth noting that I did use an L3 charger that day at the Chevron station in Casa Grande. So, there are two L3 chargers between Tucson and Phoenix, the other being at this location. Note that the store closes at 8pm. but I assume that the chargers are available 24.7. I think it would be useful for Plug-In to have an info rating category regarding lighting and proximity to stores and people in the context of women being able to feel comfortable using EV charging equipment after dark. The staff at this store are pleasant and helpful.",1,0,0,0,0,1,0,0
6632,148334,"Like the Blink FAST charge, would like to know why it only allow charge up to 80%",1,1,0,0,0,0,0,0
1109,282096,Charget not working.  Reset didn't fix it.,1,0,0,0,0,0,0,0
1408,276043,Checked again three hours after my last attempt and both chargers were STILL occupied. Super frustrating. Bellevue Square has a lot more charging stations and I plan to bring my business there until U Village installs more chargers.,0,0,1,0,0,1,0,0
2059,259152,Plugged in grey fiat,0,0,0,0,1,0,0,1
4136,209046,Charging. Ok to unplug red Think City after 1p Sat thx,0,0,0,0,1,0,0,0
2294,252940,chademo working fine. thank you! ,1,0,0,0,0,0,0,0
3306,227712,"Finally after 20 tries, it worked then it stopped saying asking too much power",1,0,0,0,0,0,0,0
7167,136741,"These superchargers along the 10 are amazing! So convenient if you are going to and from Los Angeles to and from Arizona. However there is 1 needed in Indio, La Quinta or Palm Desert really bad. If that happens then you can get to Arizona from Los Angeles in 8 hours including charging up. Otherwise you have to stop in La Quinta for 3 hours and Chiriaco Summit for 3 1/2 hours to get enough charge to get to the nearest supercharger off the 10 frwy. Please Tesla you must build another Super Charge station in one or the areas I mentioned. It is soo needed. Otherwise it's a 13-15 hour trip instead of 8 hours. Makes you really appreciate the Superchargers!",0,1,0,0,0,1,0,1
4494,201122,Charging on the L2 in order to make it home to Amherst. This QC is very conveniently located for travel between western ma and eastern ma. I hope they can get it repaired soon. ,1,1,0,0,0,1,0,0
416,299298,"station was in an error state when I arrived when I press disconnect it came up with an under voltage error which then cleared and I was able to charge
 successfully",1,0,0,0,0,0,0,0
7390,120496,Charge station worked fine. Glad is at foot of mountain. My range anxiety went down a notch :),0,1,0,0,0,1,0,0
9574,52716,This site is almost always open on weekends. Free to use on weekends. ,0,0,0,0,0,1,0,0
66,308302,First time here. Kia just left. ,0,0,0,0,0,0,0,1
1715,267914,"SAE Combo charger still broken. Please fix it, it has been several days now.",1,0,0,0,0,0,0,0
6303,156182,"Get the valet to help you, and of course give them a tip.  For some reason, when I made my reservation, this resort was listed, but disappeared later, so I re-added it back into PlugShare.  I called ahead and they were expecting us, even though we checked in after midnight!!  Extremely helpful, great service.",0,0,0,0,1,1,0,0
1478,274419,Always full,0,0,1,0,0,0,0,0
6583,149448,Still down.,1,0,0,0,0,0,0,0
7899,85948,White model s...  will leave at 1pm,0,0,0,0,1,0,0,1
6267,157085,Just the coolest people around!  thanks UPB!  Way ahead of the curve!  Josh from the EV Task Force.,0,0,0,0,0,1,0,0
3473,223460,We appreciate your patience while we completed repairs. All chargers at this location are now up and running!,1,0,0,0,0,0,0,0
9065,61488,Plugs in the parking lot island used for vendors at festivals.  A wide variety of plugs.  Tesla S charges at 26mi/hour from the 14-50.  No dedicated spot.  ,1,0,0,0,0,1,1,1
1996,260862,One space left right now. One j72 port is broken the other one and two 110v available ,1,0,1,0,0,0,1,0
